category,subcategory,tags,attribute,attribute_description,tablename,geography,region,vintage,source,vartype,last_updated,notes
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",cacr_reading_pct_econdis_students_grade3,"Percent of economically-disadvantaged students in grades 3-8 who earned a college-and-career-ready score (4+) on the End-of-Grade Reading exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database","DECIMAL (5,4)",2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",cacr_reading_pct_not_econdis_students_gr,"Percent of not-economically-disadvantaged students in grades 3-8 who earned a college-and-career-ready score (4+) on the End-of-Grade Reading exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database","DECIMAL (5,4)",2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",cacr_math_not_disabled_students_grade3to,"Students without a disability in grades 3-8 who earned a college-and-career-ready score (4+) on the End-of-Grade Math exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database",INT,2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",cacr_math_disabled_students_grade3to8_ct,"Students with a disability in grades 3-8 who earned a college-and-career-ready score (4+) on the End-of-Grade Math exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database",INT,2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",cacr_reading_not_disabled_students_grade,"Students without a disability in grades 3-8 who earned a college-and-career-ready score (4+) on the End-of-Grade Reading exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database",INT,2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",cacr_reading_disabled_students_grade3to8,"Students with a disability in grades 3-8 who earned a college-and-career-ready score (4+) on the End-of-Grade Reading exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database",INT,2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",tot_math_not_disabled_students_grade3to8,"Total students without a disability in grades 3-8 who took the End-of-Grade Math exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database",INT,2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",tot_math_disabled_students_grade3to8_ct,"Total students with a disability in grades 3-8 who took the End-of-Grade Math exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database",INT,2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",tot_reading_not_disabled_students_grade3,"Total students without a disability in grades 3-8 who took the End-of-Grade Reading exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database",INT,2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",tot_reading_disabled_students_grade3to8_,"Total students with a disability in grades 3-8 who took the End-of-Grade Reading exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database",INT,2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",cacr_math_pct_not_disabled_students_grad,"Percent of students without a disability in grades 3-8 who earned a college-and-career-ready score (4+) on the End-of-Grade Math exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database","DECIMAL (5,4)",2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",cacr_math_pct_disabled_students_grade3to,"Percent of students with a disability in grades 3-8 who earned a college-and-career-ready score (4+) on the End-of-Grade Math exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database","DECIMAL (5,4)",2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",cacr_reading_pct_not_disabled_students_g,"Percent of students without a disability in grades 3-8 who earned a college-and-career-ready score (4+) on the End-of-Grade Reading exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database","DECIMAL (5,4)",2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",cacr_reading_pct_disabled_students_grade,"Percent of students with a disability in grades 3-8 who earned a college-and-career-ready score (4+) on the End-of-Grade Reading exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database","DECIMAL (5,4)",2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",cacr_math_esl_students_grade3to8_ct,"English-learner students in grades 3-8 who earned a college-and-career-ready score (4+) on the End-of-Grade Math exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database",INT,2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",cacr_reading_esl_students_grade3to8_ct,"English-learner students in grades 3-8 who earned a college-and-career-ready score (4+) on the End-of-Grade Reading exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database",INT,2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",tot_math_esl_students_grade3to8_ct,"Total English-learner students in grades 3-8 who took the End-of-Grade Math exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database",INT,2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",tot_reading_esl_students_grade3to8_ct,"Total English-learner students in grades 3-8 who took the End-of-Grade Reading exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database",INT,2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",cacr_math_pct_esl_students_grade3to8,"Percent of English-learner students in grades 3-8 who earned a college-and-career-ready score (4+) on the End-of-Grade Math exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database","DECIMAL (5,4)",2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",cacr_reading_pct_esl_students_grade3to8,"Percent of English-learner students in grades 3-8 who earned a college-and-career-ready score (4+) on the End-of-Grade Reading exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database","DECIMAL (5,4)",2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",cacr_math_foster_students_grade3to8_ct,"Foster-care students in grades 3-8 who earned a college-and-career-ready score (4+) on the End-of-Grade Math exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database",INT,2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",cacr_reading_foster_students_grade3to8_c,"Foster-care students in grades 3-8 who earned a college-and-career-ready score (4+) on the End-of-Grade Reading exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database",INT,2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",tot_math_foster_students_grade3to8_ct,"Total foster-care students in grades 3-8 who took the End-of-Grade Math exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database",INT,2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",tot_reading_foster_students_grade3to8_ct,"Total foster-care students in grades 3-8 who took the End-of-Grade Reading exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database",INT,2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",cacr_math_pct_foster_students_grade3to8,"Percent of foster-care students in grades 3-8 who earned a college-and-career-ready score (4+) on the End-of-Grade Math exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database","DECIMAL (5,4)",2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",cacr_reading_pct_foster_students_grade3t,"Percent of foster-care students in grades 3-8 who earned a college-and-career-ready score (4+) on the End-of-Grade Reading exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database","DECIMAL (5,4)",2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",cacr_math_hless_students_grade3to8_ct,"Homeless students in grades 3-8 who earned a college-and-career-ready score (4+) on the End-of-Grade Math exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database",INT,2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",cacr_reading_hless_students_grade3to8_ct,"Homeless students in grades 3-8 who earned a college-and-career-ready score (4+) on the End-of-Grade Reading exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database",INT,2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",tot_math_hless_students_grade3to8_ct,"Total homeless students in grades 3-8 who took the End-of-Grade Math exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database",INT,2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",tot_reading_hless_students_grade3to8_ct,"Total homeless students in grades 3-8 who took the End-of-Grade Reading exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database",INT,2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",cacr_math_pct_hless_students_grade3to8,"Percent of homeless students in grades 3-8 who earned a college-and-career-ready score (4+) on the End-of-Grade Math exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database","DECIMAL (5,4)",2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",cacr_reading_pct_hless_students_grade3to,"Percent of homeless students in grades 3-8 who earned a college-and-career-ready score (4+) on the End-of-Grade Reading exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database","DECIMAL (5,4)",2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",cacr_math_migrant_students_grade3to8_ct,"Migrant students in grades 3-8 who earned a college-and-career-ready score (4+) on the End-of-Grade Math exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database",INT,2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",cacr_reading_migrant_students_grade3to8_,"Migrant students in grades 3-8 who earned a college-and-career-ready score (4+) on the End-of-Grade Reading exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database",INT,2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",tot_math_migrant_students_grade3to8_ct,"Total migrant students in grades 3-8 who took the End-of-Grade Math exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database",INT,2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",tot_reading_migrant_students_grade3to8_c,"Total migrant students in grades 3-8 who took the End-of-Grade Reading exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database",INT,2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",cacr_math_pct_migrant_students_grade3to8,"Percent of migrant students in grades 3-8 who earned a college-and-career-ready score (4+) on the End-of-Grade Math exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database","DECIMAL (5,4)",2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",cacr_reading_pct_migrant_students_grade3,"Percent of migrant students in grades 3-8 who earned a college-and-career-ready score (4+) on the End-of-Grade Reading exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database","DECIMAL (5,4)",2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",cacr_math_milconn_students_grade3to8_ct,"Military-connected students in grades 3-8 who earned a college-and-career-ready score (4+) on the End-of-Grade Math exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database",INT,2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",cacr_reading_milconn_students_grade3to8_,"Military-connected students in grades 3-8 who earned a college-and-career-ready score (4+) on the End-of-Grade Reading exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database",INT,2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",tot_math_milconn_students_grade3to8_ct,"Total military-connected students in grades 3-8 who took the End-of-Grade Math exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database",INT,2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",tot_reading_milconn_students_grade3to8_c,"Total military-connected students in grades 3-8 who took the End-of-Grade Reading exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database",INT,2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",cacr_math_pct_milconn_students_grade3to8,"Percent of military-connected students in grades 3-8 who earned a college-and-career-ready score (4+) on the End-of-Grade Math exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database","DECIMAL (5,4)",2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",cacr_reading_pct_milconn_students_grade3,"Percent of military-connected students in grades 3-8 who earned a college-and-career-ready score (4+) on the End-of-Grade Reading exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database","DECIMAL (5,4)",2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",cacr_math_tot_students_grade3to8_ct,"Total students in grades 3-8 who earned a college-and-career-ready score (4+) on the End-of-Grade Math exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database",INT,2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",cacr_reading_tot_students_grade3to8_ct,"Total students in grades 3-8 who earned a college-and-career-ready score (4+) on the End-of-Grade Reading exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database",INT,2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",tot_math_students_grade3to8_ct,"Total students in grades 3-8 who took the End-of-Grade Math exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database",INT,2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",tot_reading_students_grade3to8_ct,"Total students in grades 3-8 who took the End-of-Grade Reading exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database",INT,2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",cacr_math_pct_tot_students_grade3to8,"Percent of total students in grades 3-8 who earned a college-and-career-ready score (4+) on the End-of-Grade Math exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database","DECIMAL (5,4)",2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
education,"school performance","education, school performance, race, gender, college readiness, career readiness, reading, math, EOG exams, myfuturenc",cacr_reading_pct_tot_students_grade3to8,"Percent of total students in grades 3-8 who earned a college-and-career-ready score (4+) on the End-of-Grade Reading exam",college_career_readiness_subgroup_mfnc,county,"North Carolina",2019,"myFutureNC Attainment Dashboard: County Database","DECIMAL (5,4)",2021-03-31,"For race and gender, see college_career_readiness_mfnc table"
key,key,"teen birth rate, infant mortality, health, county rankings",state_fips,"FIPS code for state",teen_birth_rwjf,county,"United States",2021,"Robert Wood Johnson, University of Wisconsin Population Health Institute, County Rankings",CHAR(2),2021-03-31,"The 2021 County Health Rankings used data from 2013-2019 for this measure."
key,key,"teen birth rate, infant mortality, health, county rankings",county_fips,"FIPS code for county",teen_birth_rwjf,county,"United States",2021,"Robert Wood Johnson, University of Wisconsin Population Health Institute, County Rankings",CHAR(3),2021-03-31,"The 2021 County Health Rankings used data from 2013-2019 for this measure."
key,key,"teen birth rate, infant mortality, health, county rankings",race,"Race and/or ethnicity",teen_birth_rwjf,county,"United States",2021,"Robert Wood Johnson, University of Wisconsin Population Health Institute, County Rankings",VARCHAR(20),2021-03-31,"The 2021 County Health Rankings used data from 2013-2019 for this measure."
health,"teen birth","teen birth rate, infant mortality, health, county rankings",births_pk_teen,"Number of births per 1,000 female population ages 15-19.",teen_birth_rwjf,county,"United States",2021,"Robert Wood Johnson, University of Wisconsin Population Health Institute, County Rankings","DECIMAL(3,1)",2021-03-31,"The 2021 County Health Rankings used data from 2013-2019 for this measure."
key,key,"economic, income, income ratio, county rankings",state_fips,"FIPS code for state",household_income_rwjf,county,"United States",2021,"Robert Wood Johnson, University of Wisconsin Population Health Institute, County Rankings",CHAR(2),2021-03-31,"The 2021 County Health Rankings used data from 2019 for this measure."
key,key,"economic, income, income ratio, county rankings",county_fips,"FIPS code for county",household_income_rwjf,county,"United States",2021,"Robert Wood Johnson, University of Wisconsin Population Health Institute, County Rankings",CHAR(3),2021-03-31,"The 2021 County Health Rankings used data from 2019 for this measure."
economic,income,"economic, income, income ratio, county rankings",household_income_p80,"80th percentile of median household income",household_income_rwjf,county,"United States",2021,"Robert Wood Johnson, University of Wisconsin Population Health Institute, County Rankings",INT,2021-03-31,"The 2021 County Health Rankings used data from 2019 for this measure."
economic,income,"economic, income, income ratio, county rankings",household_income_p20,"20th percentile of median household income",household_income_rwjf,county,"United States",2021,"Robert Wood Johnson, University of Wisconsin Population Health Institute, County Rankings",INT,2021-03-31,"The 2021 County Health Rankings used data from 2019 for this measure."
economic,income,"economic, income, income ratio, county rankings",household_income_ratio,"Ratio of household income at the 80th percentile to income at the 20th percentile",household_income_rwjf,county,"United States",2021,"Robert Wood Johnson, University of Wisconsin Population Health Institute, County Rankings","DECIMAL(3,2)",2021-03-31,"The 2021 County Health Rankings used data from 2019 for this measure."
key,key,"care providers, health, dentists, primary care, mental health, county rankings",state_fips,"FIPS code for state",health_care_providers_rwjf,county,"United States",2021,"Robert Wood Johnson, University of Wisconsin Population Health Institute, County Rankings",CHAR(2),2021-03-31,"The 2021 County Health Rankings used data from 2018 for Primary Care Physicians, 2019 for Dentists, and 2020 for Mental Health Providers."
key,key,"care providers, health, dentists, primary care, mental health, county rankings",county_fips,"FIPS code for county",health_care_providers_rwjf,county,"United States",2021,"Robert Wood Johnson, University of Wisconsin Population Health Institute, County Rankings",CHAR(3),2021-03-31,"The 2021 County Health Rankings used data from 2018 for Primary Care Physicians, 2019 for Dentists, and 2020 for Mental Health Providers."
health,"care providers","care providers, health, dentists, primary care, mental health, county rankings",primary_care_physician_pck,"Primary care physicians per 100,000 population",health_care_providers_rwjf,county,"United States",2021,"Robert Wood Johnson, University of Wisconsin Population Health Institute, County Rankings","DECIMAL(4,1)",2021-03-31,"The 2021 County Health Rankings used data from 2018 for Primary Care Physicians, 2019 for Dentists, and 2020 for Mental Health Providers."
health,"care providers","care providers, health, dentists, primary care, mental health, county rankings",dentist_pck,"Dentists per 100,000 population",health_care_providers_rwjf,county,"United States",2021,"Robert Wood Johnson, University of Wisconsin Population Health Institute, County Rankings","DECIMAL(4,1)",2021-03-31,"The 2021 County Health Rankings used data from 2018 for Primary Care Physicians, 2019 for Dentists, and 2020 for Mental Health Providers."
health,"care providers","care providers, health, dentists, primary care, mental health, county rankings",mental_health_provider_pck,"Mental health providers per 100,000 population",health_care_providers_rwjf,county,"United States",2021,"Robert Wood Johnson, University of Wisconsin Population Health Institute, County Rankings","DECIMAL(4,1)",2021-03-31,"The 2021 County Health Rankings used data from 2018 for Primary Care Physicians, 2019 for Dentists, and 2020 for Mental Health Providers."
key,key,"infant mortality, low birthweight, health, county rankings",state_fips,"FIPS code for state",low_birthweight_rwjf,county,"United States",2021,"Robert Wood Johnson, University of Wisconsin Population Health Institute, County Rankings",CHAR(2),2021-03-31,"The 2021 County Health Rankings used data from 2013-2019 for this measure."
key,key,"infant mortality, low birthweight, health, county rankings",county_fips,"FIPS code for county",low_birthweight_rwjf,county,"United States",2021,"Robert Wood Johnson, University of Wisconsin Population Health Institute, County Rankings",CHAR(3),2021-03-31,"The 2021 County Health Rankings used data from 2013-2019 for this measure."
key,key,"infant mortality, low birthweight, health, county rankings",race,"Race and/or ethnicity",low_birthweight_rwjf,county,"United States",2021,"Robert Wood Johnson, University of Wisconsin Population Health Institute, County Rankings",VARCHAR(20),2021-03-31,"The 2021 County Health Rankings used data from 2013-2019 for this measure."
health,"low birthweight","infant mortality, low birthweight, health, county rankings",low_birthweight_pct_live_births,"Percentage of live births with low birthweight (< 2,500 grams)",low_birthweight_rwjf,county,"United States",2021,"Robert Wood Johnson, University of Wisconsin Population Health Institute, County Rankings","DECIMAL(5,4)",2021-03-31,"The 2021 County Health Rankings used data from 2013-2019 for this measure."
key,key,"single parent, social support, associations, health, county rankings",state_fips,"FIPS code for state",social_support_rwjf,county,"United States",2021,"Robert Wood Johnson, University of Wisconsin Population Health Institute, County Rankings, County Business Patterns",CHAR(2),2021-03-31,"The 2021 County Health Rankings used data from 2015-2019 for single parent households and 2018 for social associations."
key,key,"single parent, social support, associations, health, county rankings",county_fips,"FIPS code for county",social_support_rwjf,county,"United States",2021,"Robert Wood Johnson, University of Wisconsin Population Health Institute, County Rankings, County Business Patterns",CHAR(3),2021-03-31,"The 2021 County Health Rankings used data from 2015-2019 for single parent households and 2018 for social associations."
health,"social support","single parent, social support, associations, health, county rankings",single_parent_hhold_pct_children,"Percentage of children that live in single-parent households",social_support_rwjf,county,"United States",2021,"Robert Wood Johnson, University of Wisconsin Population Health Institute, County Rankings, County Business Patterns","DECIMAL(5,4)",2021-03-31,"The 2021 County Health Rankings used data from 2015-2019 for single parent households and 2018 for social associations."
health,"social support","single parent, social support, associations, health, county rankings",social_association_pxk,"Associations per 10,000 population",social_support_rwjf,county,"United States",2021,"Robert Wood Johnson, University of Wisconsin Population Health Institute, County Rankings, County Business Patterns","DECIMAL(4,2)",2021-03-31,"The 2021 County Health Rankings used data from 2015-2019 for single parent households and 2018 for social associations."
key,key,"influenza, flu, vaccines, vaccinations, health, county rankings",state_fips,"FIPS code for state",flu_vaccinations_rwjf,county,"United States",2021,"Robert Wood Johnson, University of Wisconsin Population Health Institute, County Rankings",CHAR(2),2021-04-01,"The 2021 County Health Rankings used data from 2018 for this measure."
key,key,"influenza, flu, vaccines, vaccinations, health, county rankings",county_fips,"FIPS code for county",flu_vaccinations_rwjf,county,"United States",2021,"Robert Wood Johnson, University of Wisconsin Population Health Institute, County Rankings",CHAR(3),2021-04-01,"The 2021 County Health Rankings used data from 2018 for this measure."
key,key,"influenza, flu, vaccines, vaccinations, health, county rankings",race,"Race and/or ethnicity",flu_vaccinations_rwjf,county,"United States",2021,"Robert Wood Johnson, University of Wisconsin Population Health Institute, County Rankings",VARCHAR(20),2021-04-01,"The 2021 County Health Rankings used data from 2018 for this measure."
health,vaccinations,"influenza, flu, vaccines, vaccinations, health, county rankings",flu_vaccination_pct_medicare,"Percentage of fee-for-service (FFS) Medicare enrollees that had an annual flu vaccination.",flu_vaccinations_rwjf,county,"United States",2021,"Robert Wood Johnson, University of Wisconsin Population Health Institute, County Rankings","DECIMAL(3,2)",2021-04-01,"The 2021 County Health Rankings used data from 2018 for this measure."
key,key,"chlamydia, health, std, sti, county rankings",state_fips,"FIPS code for state",sexually_transmitted_infections_rwjf,county,"United States",2021,"Robert Wood Johnson, University of Wisconsin Population Health Institute, County Rankings",CHAR(2),2021-04-01,"The 2021 County Health Rankings used data from 2018 for this measure."
